time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-08 00:00:00+00:00,1,1,0,0
2025-06-13 00:00:00+00:00,1,1,0,0
2025-06-18 00:00:00+00:00,1,1,0,0
2025-06-21 00:00:00+00:00,0,0,14,1
2025-06-23 00:00:00+00:00,1,1,0,0
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-20 00:00:00+00:00,42,2,0,0
2025-07-22 00:00:00+00:00,1,1,0,0
2025-07-28 00:00:00+00:00,0,0,1,1
2025-08-17 00:00:00+00:00,1,1,0,0
2025-08-19 00:00:00+00:00,3,2,0,0
2025-08-20 00:00:00+00:00,1,1,0,0
2025-08-22 00:00:00+00:00,1,1,0,0
2025-08-23 00:00:00+00:00,1,1,0,0
